Date,BRK_Close,SP500_Close,DJIA_Close,Pe-ratio,Price-book,Cash_Equivalents_to_Assets_Ratio,SP500_PE,BRK_Close_3M,BRK_Close_6M,BRK_Close_9M,BRK_Close_12M,BRK_Close_18M,SP500_Return,SP500_Performance_Gap,SP500_Performance_Lag2_Gap,SP500_Performance_Lag4_Gap,SP500_Performance_Lag6_Gap,SP500_Performance_Lag8_Gap,SP500_Performance_Lag10_Gap,BRK_Close_lag1
2014-03-31,116.85327861348136,16177.209368596312,1834.8711477811219,15.98,0.64,0.1,18.48,126.57269771515377,133.20843696594238,144.36593651771545,147.13524465091893,136.9996875524521,0.05832943843446392,-0.011670561565536086,0.022263202776470703,-0.002828312470447736,-0.049294747263918415,0.03302706265259131,-0.10136451039658062,115.63406240940094
2014-06-30,126.57269771515377,16603.503937251986,1900.3726961650545,14.77,0.63,0.11,18.88,133.20843696594238,144.36593651771545,147.13524465091893,142.63253929501488,134.20281291007996,0.05515215899668702,-0.01484784100331299,-0.01807826248080885,0.0683977622835899,-0.04024510873703607,0.011536271797688846,-0.11583124185336019,116.85327861348136
2014-09-30,133.20843696594238,16954.386108398438,1975.9081211090088,16.46,0.7,0.12,18.81,144.36593651771545,147.13524465091893,142.63253929501488,136.9996875524521,132.5827871854188,0.048041458949700244,-0.021958541050299762,-0.011670561565536086,0.022263202776470703,-0.002828312470447736,-0.049294747263918415,0.03302706265259131,126.57269771515377
2014-12-31,144.36593651771545,17344.79508972168,2009.3443756103516,18.63,0.76,0.12,20.08,147.13524465091893,142.63253929501488,136.9996875524521,134.20281291007996,142.95718717575073,0.04464666947839335,-0.025353330521606654,-0.01484784100331299,-0.01807826248080885,0.0683977622835899,-0.04024510873703607,0.011536271797688846,133.20843696594238
2015-03-31,147.13524465091893,17808.300268954918,2063.689835345159,17.49,0.72,0.12,20.96,142.63253929501488,136.9996875524521,134.20281291007996,132.5827871854188,146.25046849250793,0.05036538362975529,-0.019634616370244717,-0.021958541050299762,-0.011670561565536086,0.022263202776470703,-0.002828312470447736,-0.049294747263918415,144.36593651771545
2015-06-30,142.63253929501488,18004.34691220238,2101.829055059524,18.67,0.68,0.12,22.12,136.9996875524521,134.20281291007996,132.5827871854188,142.95718717575073,153.95872981964595,0.03802592184392806,-0.03197407815607195,-0.025353330521606654,-0.01484784100331299,-0.01807826248080885,0.0683977622835899,-0.04024510873703607,147.13524465091893
2015-09-30,136.9996875524521,17076.91828918457,2027.200002670288,14.11,0.65,0.12,21.45,134.20281291007996,132.5827871854188,142.95718717575073,146.25046849250793,167.3053224625126,-0.04106972415808596,-0.11106972415808597,-0.019634616370244717,-0.021958541050299762,-0.011670561565536086,0.022263202776470703,-0.002828312470447736,142.63253929501488
2015-12-31,134.20281291007996,17475.676361083984,2052.3118782043457,13.51,0.64,0.16,23.74,132.5827871854188,142.95718717575073,146.25046849250793,153.95872981964595,166.3277786497086,-0.02936349503241864,-0.09936349503241865,-0.03197407815607195,-0.025353330521606654,-0.01484784100331299,-0.01807826248080885,0.0683977622835899,136.9996875524521
2016-03-31,132.5827871854188,16663.03113793545,1951.224913550205,14.27,0.68,0.13,23.39,142.95718717575073,146.25046849250793,153.95872981964595,167.3053224625126,176.72301592145647,-0.024236641778115797,-0.0942366417781158,-0.11106972415808597,-0.019634616370244717,-0.021958541050299762,-0.011670561565536086,0.022263202776470703,134.20281291007996
2016-06-30,142.95718717575073,17763.710876464844,2075.1314067840576,14.0,0.69,0.14,23.97,146.25046849250793,153.95872981964595,167.3053224625126,166.3277786497086,189.87888905358693,0.016482023895926234,-0.05351797610407377,-0.09936349503241865,-0.03197407815607195,-0.025353330521606654,-0.01484784100331299,-0.01807826248080885,132.5827871854188
2016-09-30,146.25046849250793,18372.319122314453,2162.056869506836,15.3,0.68,0.15,24.22,153.95872981964595,167.3053224625126,166.3277786497086,176.72301592145647,205.33590247982838,0.10257965493970644,0.03257965493970644,-0.0942366417781158,-0.11106972415808597,-0.019634616370244717,-0.021958541050299762,-0.011670561565536086,142.95718717575073
2016-12-31,153.95872981964595,18864.765593998014,2184.8785574776784,15.3,0.68,0.15,24.22,167.3053224625126,166.3277786497086,176.72301592145647,189.87888905358693,194.92140698432922,0.06198337302325485,-0.008016626976745156,-0.05351797610407377,-0.09936349503241865,-0.03197407815607195,-0.025353330521606654,-0.01484784100331299,146.25046849250793
2017-03-31,167.3053224625126,20405.679403981856,2325.9278997605848,18.22,0.74,0.12,23.6,166.3277786497086,176.72301592145647,189.87888905358693,205.33590247982838,205.1768263559493,0.11067521025136928,0.040675210251369276,0.03257965493970644,-0.0942366417781158,-0.11106972415808597,-0.019634616370244717,-0.021958541050299762,153.95872981964595
2017-06-30,166.3277786497086,20993.817863343254,2397.9709356398807,19.14,0.73,0.13,23.4,176.72301592145647,189.87888905358693,205.33590247982838,194.92140698432922,208.87111167302209,0.11285866547011936,0.04285866547011935,-0.008016626976745156,-0.05351797610407377,-0.09936349503241865,-0.03197407815607195,-0.025353330521606654,167.3053224625126
2017-09-30,176.72301592145647,21890.747116815477,2467.1746264260914,19.14,0.73,0.13,23.4,189.87888905358693,205.33590247982838,194.92140698432922,205.1768263559493,201.85442589931802,0.07277717558102137,0.0027771755810213627,0.040675210251369276,0.03257965493970644,-0.0942366417781158,-0.11106972415808597,-0.019634616370244717,166.3277786497086
2017-12-31,189.87888905358693,23689.228949652777,2603.2773166232637,24.18,0.79,0.14,23.4,205.33590247982838,194.92140698432922,205.1768263559493,208.87111167302209,206.91936626131573,0.12839070548553755,0.05839070548553754,0.04285866547011935,-0.008016626976745156,-0.05351797610407377,-0.09936349503241865,-0.03197407815607195,176.72301592145647
2018-03-31,205.33590247982838,25127.201812243853,2733.4767225922133,10.88,0.76,0.15,23.4,194.92140698432922,205.1768263559493,208.87111167302209,201.85442589931802,206.03562426567078,0.14784578516930913,0.07784578516930912,0.0027771755810213627,0.040675210251369276,0.03257965493970644,-0.0942366417781158,-0.11106972415808597,189.87888905358693
2018-06-30,194.92140698432922,24555.882110595703,2703.131244659424,12.38,0.76,0.14,23.4,205.1768263559493,208.87111167302209,201.85442589931802,206.91936626131573,217.17078185081482,0.0365842705469579,-0.03341572945304211,0.05839070548553754,0.04285866547011935,-0.008016626976745156,-0.05351797610407377,-0.09936349503241865,205.33590247982838
2018-09-30,205.1768263559493,25594.496496775795,2849.6014307415676,9.7,0.7,0.14,23.4,208.87111167302209,201.85442589931802,206.91936626131573,206.03562426567078,212.54887094805318,0.01859716366444908,-0.05140283633555093,0.07784578516930912,0.0027771755810213627,0.040675210251369276,0.03257965493970644,-0.0942366417781158,194.92140698432922
2018-12-31,208.87111167302209,24948.45086185516,2698.926827566964,126.04,0.79,0.15,19.39,201.85442589931802,206.91936626131573,206.03562426567078,217.17078185081482,182.61825464642237,0.015986750119233673,-0.054013249880766334,-0.03341572945304211,0.05839070548553754,0.04285866547011935,-0.008016626976745156,-0.05351797610407377,205.1768263559493
2019-03-31,201.85442589931802,25147.438556608606,2721.004418545082,126.04,0.79,0.15,19.39,206.91936626131573,206.03562426567078,217.17078185081482,212.54887094805318,204.5560941696167,-0.017466955844335774,-0.08746695584433578,-0.05140283633555093,0.07784578516930912,0.0027771755810213627,0.040675210251369276,0.03257965493970644,208.87111167302209
2019-06-30,206.91936626131573,26095.563337053572,2882.3277646019346,18.45,0.74,0.15,19.39,206.03562426567078,217.17078185081482,212.54887094805318,182.61825464642237,220.2034375667572,0.045979306753361815,-0.02402069324663819,-0.054013249880766334,-0.03341572945304211,0.05839070548553754,0.04285866547011935,-0.008016626976745156,201.85442589931802
2019-09-30,206.03562426567078,26675.568817138672,2957.8364067077637,18.93,0.72,0.16,22.44,217.17078185081482,212.54887094805318,182.61825464642237,204.5560941696167,242.84295053951075,0.06076683544091943,-0.009233164559080576,-0.08746695584433578,-0.05140283633555093,0.07784578516930912,0.0027771755810213627,0.040675210251369276,206.91936626131573
2019-12-31,217.17078185081482,27537.412353515625,3082.7556114196777,6.81,0.73,0.15,22.78,212.54887094805318,182.61825464642237,204.5560941696167,220.2034375667572,279.4357144794767,0.055252649572609336,-0.01474735042739067,-0.02402069324663819,-0.054013249880766334,-0.03341572945304211,0.05839070548553754,0.04285866547011935,206.03562426567078
2020-03-31,212.54887094805318,26554.484501008064,3055.8691839402723,45.82,0.68,0.18,22.8,182.61825464642237,204.5560941696167,220.2034375667572,242.84295053951075,280.8614068031311,-0.004539146548688144,-0.07453914654868815,-0.009233164559080576,-0.08746695584433578,-0.05140283633555093,0.07784578516930912,0.0027771755810213627,217.17078185081482
2020-06-30,182.61825464642237,24570.829644097223,2931.685554625496,19.55,0.63,0.18,31.29,204.5560941696167,220.2034375667572,242.84295053951075,279.4357144794767,286.40718698501587,-0.10772917481622657,-0.17772917481622658,-0.01474735042739067,-0.02402069324663819,-0.054013249880766334,-0.03341572945304211,0.05839070548553754,212.54887094805318
2020-09-30,204.5560941696167,27299.036193847656,3319.834072113037,14.16,0.7,0.17,34.27,220.2034375667572,242.84295053951075,279.4357144794767,280.8614068031311,323.46290391491306,0.028038642317132156,-0.04196135768286785,-0.07453914654868815,-0.009233164559080576,-0.08746695584433578,-0.05140283633555093,0.07784578516930912,182.61825464642237
2020-12-31,220.2034375667572,29091.59063720703,3554.501091003418,12.57,0.69,0.15,39.26,242.84295053951075,279.4357144794767,280.8614068031311,286.40718698501587,313.71806187783517,0.18398894374312902,0.11398894374312901,-0.17772917481622658,-0.01474735042739067,-0.02402069324663819,-0.054013249880766334,-0.03341572945304211,204.5560941696167
2021-03-31,242.84295053951075,31550.58494492828,3865.7068991739243,5.81,0.75,0.16,30.5,279.4357144794767,280.8614068031311,286.40718698501587,323.46290391491306,284.55906200408936,0.15573988476702305,0.08573988476702304,-0.04196135768286785,-0.07453914654868815,-0.009233164559080576,-0.08746695584433578,-0.05140283633555093,220.2034375667572
2021-06-30,279.4357144794767,34121.478236607145,4183.626364087301,6.12,0.77,0.15,26.7,280.8614068031311,286.40718698501587,323.46290391491306,313.71806187783517,296.98079378642734,0.1728983355405489,0.10289833554054889,0.11398894374312901,-0.17772917481622658,-0.01474735042739067,-0.02402069324663819,-0.054013249880766334,242.84295053951075
2021-09-30,280.8614068031311,34915.60919189453,4421.587951660156,7.31,0.74,0.16,25.35,286.40718698501587,323.46290391491306,313.71806187783517,284.55906200408936,308.1759678010018,0.10665489254287741,0.036654892542877404,0.08573988476702304,-0.04196135768286785,-0.07453914654868815,-0.009233164559080576,-0.08746695584433578,279.4357144794767
2021-12-31,286.40718698501587,35517.112548828125,4602.1088943481445,7.51,0.75,0.15,23.63,323.46290391491306,313.71806187783517,284.55906200408936,296.98079378642734,326.37080727854084,0.04090192993818409,-0.029098070061815917,0.10289833554054889,0.11398894374312901,-0.17772917481622658,-0.01474735042739067,-0.02402069324663819,280.8614068031311
2022-03-31,323.46290391491306,34679.4847530242,4463.855476625504,9.49,0.88,0.11,22.19,313.71806187783517,284.55906200408936,296.98079378642734,308.1759678010018,354.7674589611235,-0.0067627185758840636,-0.07676271857588407,0.036654892542877404,0.08573988476702304,-0.04196135768286785,-0.07453914654868815,-0.009233164559080576,286.40718698501587
2022-06-30,313.71806187783517,32687.894972278227,4105.667102444557,54.5,0.76,0.11,20.28,284.55906200408936,296.98079378642734,308.1759678010018,326.37080727854084,350.99412609281995,-0.07965787119266388,-0.14965787119266388,-0.029098070061815917,0.10289833554054889,0.11398894374312901,-0.17772917481622658,-0.01474735042739067,323.46290391491306
2022-09-30,284.55906200408936,31774.48764038086,3980.3511123657227,0.0,0.75,0.12,20.58,296.98079378642734,308.1759678010018,326.37080727854084,354.7674589611235,393.33737682905354,-0.08376702056941632,-0.15376702056941632,-0.07676271857588407,0.036654892542877404,0.08573988476702304,-0.04196135768286785,-0.07453914654868815,313.71806187783517
2022-12-31,296.98079378642734,32490.299758184523,3851.9735010540676,0.0,0.75,0.12,20.58,308.1759678010018,326.37080727854084,354.7674589611235,350.99412609281995,408.615714905754,-0.006044904826734143,-0.07604490482673415,-0.14965787119266388,-0.029098070061815917,0.10289833554054889,0.11398894374312901,-0.17772917481622658,284.55906200408936
2023-03-31,308.1759678010018,33218.65940020161,4000.0645279422884,89.24,0.78,0.13,22.66,326.37080727854084,354.7674589611235,350.99412609281995,393.33737682905354,442.1817193031311,0.045450670241033775,-0.024549329758966232,-0.15376702056941632,-0.07676271857588407,0.036654892542877404,0.08573988476702304,-0.04196135768286785,296.98079378642734
2023-06-30,326.37080727854084,33643.03997605847,4206.072899603075,8.56,0.81,0.14,24.01,354.7674589611235,350.99412609281995,393.33737682905354,408.615714905754,461.73171854019165,0.035479519316640395,-0.03452048068335961,-0.07604490482673415,-0.14965787119266388,-0.029098070061815917,0.10289833554054889,0.11398894374312901,308.1759678010018
2023-09-30,354.7674589611235,34669.47495039683,4458.137447296627,8.56,0.81,0.14,24.01,350.99412609281995,393.33737682905354,408.615714905754,442.1817193031311,,0.043674717053344025,-0.02632528294665598,-0.024549329758966232,-0.15376702056941632,-0.07676271857588407,0.036654892542877404,0.08573988476702304,326.37080727854084
2023-12-31,350.99412609281995,34933.04668898809,4464.907621837798,9.96,0.86,0.15,24.01,393.33737682905354,408.615714905754,442.1817193031311,461.73171854019165,,0.03834394019825904,-0.031656059801740966,-0.03452048068335961,-0.07604490482673415,-0.14965787119266388,-0.029098070061815917,0.10289833554054889,354.7674589611235
2024-03-31,393.33737682905354,38517.43948514344,4992.540983606557,8.06,0.82,0.15,24.01,408.615714905754,442.1817193031311,461.73171854019165,,,0.11098998586658926,0.04098998586658925,-0.02632528294665598,-0.024549329758966232,-0.15376702056941632,-0.07676271857588407,0.036654892542877404,350.99412609281995
2024-06-30,408.615714905754,38807.051649305555,5246.626519097223,12.41,0.95,0.25,24.01,442.1817193031311,461.73171854019165,,,,0.11089799852867288,0.040897998528672874,-0.031656059801740966,-0.03452048068335961,-0.07604490482673415,-0.14965787119266388,-0.029098070061815917,393.33737682905354
2024-09-30,442.1817193031311,40602.31671142578,5543.469223022461,9.3,0.97,0.28,28.07,461.73171854019165,,,,,0.05412813660904159,-0.01587186339095842,0.04098998586658925,-0.02632528294665598,-0.024549329758966232,-0.15376702056941632,-0.07676271857588407,408.615714905754
2024-12-31,461.73171854019165,43257.376037597656,5907.042953491211,10.98,0.93,0.29,30.01,,,,,,0.11467824014328953,0.04467824014328953,0.040897998528672874,-0.031656059801740966,-0.03452048068335961,-0.07604490482673415,-0.14965787119266388,442.1817193031311
