Date,BRK_Close,SP500_Close,DJIA_Close,Pe-ratio,Price-book,Cash_Equivalents_to_Assets_Ratio,SP500_PE,BRK_Close_3M,BRK_Close_6M,BRK_Close_9M,BRK_Close_12M,BRK_Close_18M,SP500_Return,SP500_Performance_Gap,SP500_Performance_Lag2_Gap,SP500_Performance_Lag4_Gap,SP500_Performance_Lag6_Gap,SP500_Performance_Lag8_Gap,SP500_Performance_Lag10_Gap,BRK_Close_lag1,BRK_Close_lag1_pct,Pct_Change_3M,Pct_Change_6M,Pct_Change_9M,Pct_Change_12M,Pct_Change_18M,BRK_Close_lag2_pct
2010-03-31,76.08508200723617,10469.049532530738,1123.593601914703,14.44,0.51,0.07,18.91,76.86047641814702,79.7662502527237,81.16843748092651,83.40645156368133,72.20968735218048,,,,,,,,,,1.019114904597335,4.838226033767598,6.681146079604525,9.622608484208317,-5.09350131828354,
2010-06-30,76.86047641814702,10565.103469122023,1134.5844397166418,15.91,0.53,0.08,16.15,79.7662502527237,81.16843748092651,83.40645156368133,79.01555585104322,75.87984115358383,,,,,,,,76.08508200723617,1.019114904597335,3.7805826479246427,5.604910694727848,8.516698634447687,2.803885082850436,-1.2758641505527528,
2010-09-30,79.7662502527237,10389.612487792969,1096.2468748092651,17.12,0.55,0.09,15.61,81.16843748092651,83.40645156368133,79.01555585104322,72.20968735218048,79.3788711793961,-0.0075877991111736875,-0.0775877991111737,,,,,,76.86047641814702,3.7805826479246427,1.7578703070036075,4.563585851690876,-0.9411178277806076,-9.47338363857111,-0.4856428277626934,1.019114904597335
2010-12-31,81.16843748092651,11239.59831237793,1204.585620880127,15.12,0.52,0.1,16.05,83.40645156368133,79.01555585104322,72.20968735218048,75.87984115358383,80.5885719420418,0.06384176408941111,-0.006158235910588894,,,,,,79.7662502527237,1.7578703070036075,2.757246723248454,-2.6523630326001957,-11.037233691792107,-6.515582277391303,-0.7143978089032188,3.7805826479246427
2011-03-31,83.40645156368133,12024.699644027218,1302.529027138987,19.01,0.54,0.11,16.04,79.01555585104322,72.20968735218048,75.87984115358383,79.3788711793961,85.49634963747054,0.1573771070052281,0.0873771070052281,-0.0775877991111737,,,,,81.16843748092651,2.757246723248454,-5.264455722931262,-13.424338287490928,-9.02401465233285,-4.828859529181802,2.5056791586362657,1.7578703070036075
2011-06-30,79.01555585104322,12365.368102058532,1318.3328586154514,15.54,0.49,0.13,15.35,72.20968735218048,75.87984115358383,79.3788711793961,80.5885719420418,88.1233877366589,0.10016103408613963,0.030161034086139626,-0.006158235910588894,,,,,83.40645156368133,-5.264455722931262,-8.61332737023691,-3.968477679725127,0.4598022812593882,1.9907676077910048,11.5266314177241,2.757246723248454
2011-09-30,72.20968735218048,11647.550827026367,1225.2684421539307,15.15,0.46,0.09,13.5,75.87984115358383,79.3788711793961,80.5885719420418,85.49634963747054,99.00383338928222,-0.031364510396580614,-0.10136451039658062,0.0873771070052281,-0.0775877991111737,,,,79.01555585104322,-8.61332737023691,5.082633557881647,9.928285372916983,11.603546417526903,18.4001105287833,37.10602693295368,-5.264455722931262
2011-12-31,75.87984115358383,11798.647925967261,1225.6512683686756,15.15,0.46,0.09,13.5,79.3788711793961,80.5885719420418,85.49634963747054,88.1233877366589,110.018749833107,-0.04583124185336018,-0.11583124185336019,0.030161034086139626,-0.006158235910588894,,,,72.20968735218048,5.082633557881647,4.611277478467697,6.205509548876507,12.673337658183181,16.135440450242438,44.990748742376326,-8.61332737023691
2012-03-31,79.3788711793961,12847.563775831653,1348.783715032762,18.43,0.48,0.09,13.5,80.5885719420418,85.49634963747054,88.1233877366589,99.00383338928222,115.36187481880188,0.10302706265259132,0.03302706265259131,-0.10136451039658062,0.0873771070052281,-0.0775877991111737,,,75.87984115358383,4.611277478467697,1.5239581322739828,7.706683613891352,11.016176505584474,24.723156072015364,45.33070715768212,5.082633557881647
2012-06-30,80.5885719420418,12760.665690104166,1349.6785656156994,16.77,0.49,0.09,13.5,85.49634963747054,88.1233877366589,99.00383338928222,110.018749833107,115.63406240940094,0.08153627179768885,0.011536271797688846,-0.11583124185336019,0.030161034086139626,-0.006158235910588894,,,79.3788711793961,1.5239581322739828,6.089917685795891,9.349732366564382,22.850958893383087,36.51904628888446,43.486923297962626,4.611277478467697
2012-09-30,85.49634963747054,13113.575830853175,1400.9457155257937,17.69,0.5,0.1,13.5,88.1233877366589,99.00383338928222,110.018749833107,115.36187481880188,116.85327861348136,0.020705252736081592,-0.049294747263918415,0.03302706265259131,-0.10136451039658062,0.0873771070052281,-0.0775877991111737,,80.5885719420418,6.089917685795891,3.072690366697247,15.798901133308435,28.68239439416838,34.93193020283307,36.6763366026425,1.5239581322739828
2012-12-31,88.1233877366589,13140.35791015625,1418.1390302104335,15.0,0.53,0.11,16.44,99.00383338928222,110.018749833107,115.36187481880188,115.63406240940094,126.57269771515377,0.029754891262963934,-0.04024510873703607,0.011536271797688846,-0.11583124185336019,0.030161034086139626,-0.006158235910588894,,85.49634963747054,3.072690366697247,12.346830883462632,24.846255527395858,30.909487006491815,31.2183580083789,43.631220911971525,6.089917685795891
2013-03-31,99.00383338928222,13994.436848958334,1513.9799967447916,15.0,0.53,0.11,16.44,110.018749833107,115.36187481880188,115.63406240940094,116.85327861348136,133.20843696594238,0.06717168752955227,-0.002828312470447736,-0.049294747263918415,0.03302706265259131,-0.10136451039658062,0.0873771070052281,-0.0775877991111737,88.1233877366589,12.346830883462632,11.125747424864063,16.522634396589453,16.797560711340136,18.02904454619982,34.54876685649934,3.072690366697247
2013-06-30,110.018749833107,14958.954040527344,1609.4912509918213,15.67,0.58,0.11,16.44,115.36187481880188,115.63406240940094,116.85327861348136,126.57269771515377,144.36593651771545,0.1383977622835899,0.0683977622835899,-0.04024510873703607,0.011536271797688846,-0.11583124185336019,0.030161034086139626,-0.006158235910588894,99.00383338928222,11.125747424864063,4.856558535522483,5.103959629437798,6.21214910253208,15.04647881125562,31.21939372762501,12.346830883462632
2013-09-30,115.36187481880188,15285.608413696289,1674.9435920715332,14.72,0.63,0.09,17.88,115.63406240940094,116.85327861348136,126.57269771515377,133.20843696594238,147.13524465091893,0.09226320277647071,0.022263202776470703,-0.002828312470447736,-0.049294747263918415,0.03302706265259131,-0.10136451039658062,0.0873771070052281,110.018749833107,4.856558535522483,0.23594241254017698,1.29280474768811,9.717961773732135,15.470069444668768,27.54234870231025,11.125747424864063
2013-12-31,115.63406240940094,15735.64892578125,1768.6673469543457,15.03,0.62,0.1,18.04,116.85327861348136,126.57269771515377,133.20843696594238,144.36593651771545,142.63253929501488,0.05192173751919116,-0.01807826248080885,0.0683977622835899,-0.04024510873703607,0.011536271797688846,-0.11583124185336019,0.030161034086139626,115.36187481880188,0.23594241254017698,1.0543746182364546,9.459699916988756,15.198267872246493,24.847240951018115,23.348204087153984,4.856558535522483
