Date,BRK_Close,SP500_Close,DJIA_Close,Pe-ratio,Price-book,Cash_Equivalents_to_Assets_Ratio,SP500_PE,BRK_Close_3M,BRK_Close_6M,BRK_Close_9M,BRK_Close_12M,BRK_Close_18M,SP500_Return,SP500_Performance_Gap,SP500_Performance_Lag2_Gap,SP500_Performance_Lag4_Gap,SP500_Performance_Lag6_Gap,SP500_Performance_Lag8_Gap,SP500_Performance_Lag10_Gap,BRK_Close_lag1,Pct_Change_3M,Pct_Change_6M,Pct_Change_9M,Pct_Change_12M,Pct_Change_18M,BRK_Close_lag1_pct,BRK_Close_lag2_pct
2011-11-30,75.83380962553478,11804.329985119048,1226.414771670387,15.15,0.46,0.09,14.1,79.28200035095215,80.48454596779563,84.9660876730214,86.73904818580264,111.40954520485617,-0.061658452990678514,-0.13165845299067852,0.0533834979484476,-0.003507505333792016,,,,71.06130384362262,4.5470361339413525,6.132800613903017,12.042488822045936,14.380444044836494,46.912763258226605,6.716040269137935,-10.816104388321268
2011-12-31,76.68571435837518,12075.682849702382,1243.3228469122023,15.15,0.46,0.09,14.1,80.45727261629972,81.25714365641277,87.70684252287212,88.86350059509277,113.32499961853027,-0.001787722457189389,-0.0717877224571894,-0.014872396716276215,0.058551609346857714,,,,69.73952447800409,4.918201896508291,5.96125280475831,14.371813911769706,15.88012361703664,47.77850159800142,9.96019105717007,-7.801842864685965
2012-01-31,78.2895004272461,12550.9865234375,1300.5780151367187,18.43,0.48,0.09,14.87,80.00100021362304,84.07714298793248,88.8028578985305,95.32190486363002,116.29727242209695,0.0030898321989356603,-0.06691016780106435,-0.00984639945066651,0.08457743751758856,-0.0937787494036812,,,75.11999947684151,2.186116627436437,7.392616543855452,13.428821762701629,21.75566882332073,48.54772579647666,4.219250495843916,-1.3189006567106203
2012-02-29,79.28200035095215,12889.049658203125,1352.4875,18.43,0.48,0.09,15.37,80.48454596779563,84.9660876730214,86.73904818580264,98.93052633185135,115.2963638305664,0.13794336577103228,0.06794336577103227,-0.14082712147077076,0.10773272639537962,-0.056696363284846674,,,75.83380962553478,1.5167952517850893,7.16945497957658,9.405726144447543,24.7830855603068,45.425649353184795,4.5470361339413525,6.716040269137935
2012-03-31,80.45727261629972,13079.465021306818,1389.2400013316762,18.43,0.48,0.09,15.37,81.25714365641277,87.70684252287212,88.86350059509277,102.93950004577637,114.40499954223633,0.17037439146276578,0.10037439146276578,-0.1449927055865337,0.06996990890042648,-0.07744111450285912,,,76.68571435837518,0.9941562945187407,9.010459428752405,10.4480647994151,27.943064310288353,42.19348459378324,4.918201896508291,9.96019105717007
2012-04-30,80.00100021362304,13030.753857421874,1386.4289855957031,16.77,0.49,0.09,15.7,84.07714298793248,88.8028578985305,95.32190486363002,105.62227283824573,115.38999972136125,0.13154150731094272,0.06154150731094271,-0.1439006627690152,0.05589009075900836,-0.0706932898595502,,,78.2895004272461,5.095114765346798,11.002184549448456,19.150891375228138,32.02619036787961,44.235696320346705,2.186116627436437,4.219250495843916
2012-05-31,80.48454596779563,12721.08456143466,1341.2727161754262,16.77,0.49,0.09,15.22,84.9660876730214,86.73904818580264,98.93052633185135,111.40954520485617,115.55600013732911,0.07766256767400659,0.007662567674006582,-0.13165845299067852,0.0533834979484476,-0.003507505333792016,,,79.28200035095215,5.568201511652913,7.771059826205196,22.918661144509084,38.4235244980255,43.57538922262997,1.5167952517850893,4.5470361339413525
2012-06-30,81.25714365641277,12544.904808407739,1323.4842936197917,16.77,0.49,0.09,15.22,87.70684252287212,88.86350059509277,102.93950004577637,113.32499961853027,115.97571418398903,0.03885676400626248,-0.031143235993737528,-0.0717877224571894,-0.014872396716276215,0.058551609346857714,,,80.45727261629972,7.9373930416890195,9.360847054681965,26.683631018394095,39.46466060598074,42.72679171985182,0.9941562945187407,4.918201896508291
2012-07-31,84.07714298793248,12814.094261532739,1359.7761986142114,17.69,0.5,0.1,15.55,88.8028578985305,95.32190486363002,105.62227283824573,116.29727242209695,114.4480950491769,0.020963112150898855,-0.04903688784910115,-0.06691016780106435,-0.00984639945066651,0.08457743751758856,-0.0937787494036812,,80.00100021362304,5.6206892178487875,13.374338703815733,25.625430508985797,38.32210311759643,36.1227213270122,5.095114765346798,2.186116627436437
2012-08-31,84.9660876730214,13135.12300441576,1403.4482581097147,17.69,0.5,0.1,16.14,86.73904818580264,98.93052633185135,111.40954520485617,115.2963638305664,112.86368400172184,0.01909165941152402,-0.05090834058847599,0.06794336577103227,-0.14082712147077076,0.10773272639537962,-0.056696363284846674,,80.48454596779563,2.086668412466157,16.4353085345884,31.122366883124293,35.696919780826306,32.833801217327945,5.568201511652913,1.5167952517850893
