Date,BRK_Close,SP500_Close,DJIA_Close,Pe-ratio,Price-book,Cash_Equivalents_to_Assets_Ratio,SP500_PE,BRK_Close_3M,BRK_Close_6M,BRK_Close_9M,BRK_Close_12M,BRK_Close_18M,SP500_Return,SP500_Performance_Gap,BRK_Close_lag1,Intrinsic_Value,Gap_Intrinsic
2010-03-31,76.08508200723617,10469.049532530738,1123.593601914703,14.44,0.51,0.07,18.91,76.86047641814702,79.7662502527237,81.16843748092651,83.40645156368133,72.20968735218048,,,,149.18643530830622,-0.49000000000000005
2010-06-30,76.86047641814702,10565.103469122023,1134.5844397166418,15.91,0.53,0.08,16.15,79.7662502527237,81.16843748092651,83.40645156368133,79.01555585104322,75.87984115358383,,,76.08508200723617,145.0197668266925,-0.47000000000000003
2010-09-30,79.7662502527237,10389.612487792969,1096.2468748092651,17.12,0.55,0.09,15.61,81.16843748092651,83.40645156368133,79.01555585104322,72.20968735218048,79.3788711793961,,,76.86047641814702,145.02954591404307,-0.44999999999999996
2010-12-31,81.16843748092651,11239.59831237793,1204.585620880127,15.12,0.52,0.1,16.05,83.40645156368133,79.01555585104322,72.20968735218048,75.87984115358383,80.5885719420418,,,79.7662502527237,156.09314900178174,-0.4799999999999999
2011-03-31,83.40645156368133,12024.699644027218,1302.529027138987,19.01,0.54,0.11,16.04,79.01555585104322,72.20968735218048,75.87984115358383,79.3788711793961,85.49634963747054,0.14859516202140122,0.008595162021401204,81.16843748092651,154.45639178459504,-0.45999999999999996
2011-06-30,79.01555585104322,12365.368102058532,1318.3328586154514,15.54,0.49,0.13,15.35,72.20968735218048,75.87984115358383,79.3788711793961,80.5885719420418,88.1233877366589,0.17039725528462935,0.030397255284629332,83.40645156368133,161.25623643070045,-0.51
2011-09-30,72.20968735218048,11647.550827026367,1225.2684421539307,15.15,0.46,0.09,13.5,75.87984115358383,79.3788711793961,80.5885719420418,85.49634963747054,99.00383338928222,0.12107654069979823,-0.018923459300201784,79.01555585104322,156.97758120039234,-0.5399999999999999
2011-12-31,75.87984115358383,11798.647925967261,1225.6512683686756,15.15,0.46,0.09,13.5,79.3788711793961,80.5885719420418,85.49634963747054,88.1233877366589,110.018749833107,0.049739287655294895,-0.09026071234470512,72.20968735218048,164.9561764208344,-0.5399999999999999
2012-03-31,79.3788711793961,12847.563775831653,1348.783715032762,18.43,0.48,0.09,13.5,80.5885719420418,85.49634963747054,88.1233877366589,99.00383338928222,115.36187481880188,0.06843115887831419,-0.07156884112168582,75.87984115358383,165.37264829040853,-0.52
2012-06-30,80.5885719420418,12760.665690104166,1349.6785656156994,16.77,0.49,0.09,13.5,85.49634963747054,88.1233877366589,99.00383338928222,110.018749833107,115.63406240940094,0.031968121351747536,-0.10803187864825248,79.3788711793961,164.46647335110572,-0.51
