Date,BRK_Close,SP500_Close,DJIA_Close,Pe-ratio,Price-book,Cash_Equivalents_to_Assets_Ratio,SP500_PE,BRK_Close_3M,BRK_Close_6M,BRK_Close_9M,BRK_Close_12M,BRK_Close_18M,SP500_Return,SP500_Performance_Gap,SP500_Performance_Lag2_Gap,SP500_Performance_Lag4_Gap,SP500_Performance_Lag6_Gap,SP500_Performance_Lag8_Gap,SP500_Performance_Lag10_Gap,BRK_Close_lag1
2010-01-31,68.34842079564145,10471.235300164473,1123.5815815172698,,,,,79.45857166108631,78.5066662742978,82.66190519787017,81.16600036621094,76.12399940490722,,,,,,,,
2010-02-28,76.51736891897102,10214.50627055921,1089.1599892064144,,,,18.91,74.83600044250488,78.3822732405229,80.68333326067243,84.22999974300987,71.06130384362262,,,,,,,,
2010-03-31,82.11913034190302,10677.518766983696,1152.0486901324728,14.44,0.51,0.07,18.91,76.22090911865234,82.47571491059803,80.20590868863192,84.67434758725373,69.73952447800409,,,,,,,,
2010-04-30,79.45857166108631,11052.147646949405,1197.316185360863,14.44,0.51,0.07,19.01,78.5066662742978,82.66190519787017,81.16600036621094,82.03050003051757,75.11999947684151,,,,,,,,68.34842079564145
2010-05-31,74.83600044250488,10500.127001953126,1125.0620056152343,14.44,0.51,0.07,19.01,78.3822732405229,80.68333326067243,84.22999974300987,79.67952437627883,75.83380962553478,,,,,,,,76.51736891897102
2010-06-30,76.22090911865234,10159.26717862216,1083.3608953302557,15.91,0.53,0.08,16.15,82.47571491059803,80.20590868863192,84.67434758725373,75.64090936834162,76.68571435837518,,,,,,,,82.11913034190302
2010-07-31,78.5066662742978,10222.242420014882,1079.8033360072545,15.91,0.53,0.08,15.72,82.66190519787017,81.16600036621094,82.03050003051757,76.12399940490722,78.2895004272461,-0.023778749403681188,-0.0937787494036812,,,,,,79.45857166108631
2010-08-31,78.3822732405229,10350.396351207386,1087.2822709517045,15.91,0.53,0.08,15.72,80.68333326067243,84.22999974300987,79.67952437627883,71.06130384362262,79.28200035095215,0.013303636715153333,-0.056696363284846674,,,,,,74.83600044250488
2010-09-30,82.47571491059803,10598.066127232143,1122.0819033668154,17.12,0.55,0.09,15.61,80.20590868863192,84.67434758725373,75.64090936834162,69.73952447800409,80.45727261629972,-0.007441114502859114,-0.07744111450285912,,,,,,76.22090911865234
2010-10-31,82.66190519787017,11044.485305059523,1171.5838099888392,17.12,0.55,0.09,15.9,81.16600036621094,82.03050003051757,76.12399940490722,75.11999947684151,80.00100021362304,-0.0006932898595501946,-0.0706932898595502,,,,,,78.5066662742978
